1.#INF00;1.#INF00;9.947327e-001;0.003000
1.#INF00;1.#INF00;9.822761e-001;0.004000
1.#INF00;1.#INF00;9.658182e-001;0.002000
0.961904;0.440873;9.477343e-001;0.003000
1.#INF00;1.#INF00;9.291152e-001;0.003000
1.445619;0.662576;9.104598e-001;0.003000
1.#INF00;1.#INF00;8.919934e-001;0.002000
1.821960;0.835065;8.738161e-001;0.006000
0.541071;0.247991;8.559697e-001;0.013000
1.398684;0.641064;8.384695e-001;0.004000
2.595631;1.189664;8.213186e-001;0.004000
1.#INF00;1.#INF00;8.045145e-001;0.003000
2.216127;1.015725;7.880523e-001;0.003000
3.369886;1.544531;7.719259e-001;0.003000
1.#INF00;1.#INF00;7.561291e-001;0.003000
1.925649;0.882589;7.406552e-001;0.004000
1.963373;0.899879;7.254978e-001;0.006000
2.165319;0.992438;7.106504e-001;0.005000
1.999167;0.916285;6.961067e-001;0.005000
2.358559;1.081006;6.818605e-001;0.004000
2.434841;1.115969;6.679057e-001;0.004000
3.649024;1.672469;6.542364e-001;0.004000
3.497894;1.603201;6.408467e-001;0.005000
2.115331;0.969527;6.277308e-001;0.004000
0.752162;0.344741;6.148833e-001;0.016000
5.052598;2.315774;6.022986e-001;0.004000
2.165837;0.992675;5.899713e-001;0.007000
1.819138;0.833772;5.778962e-001;0.005000
3.002711;1.376243;5.660681e-001;0.005000
3.608866;1.654063;5.544819e-001;0.004000
3.730945;1.710016;5.431328e-001;0.005000
3.194709;1.464242;5.320158e-001;0.006000
2.495222;1.143643;5.211262e-001;0.005000
3.613718;1.656287;5.104594e-001;0.006000
2.472779;1.133357;5.000108e-001;0.005000
2.889625;1.324411;4.897759e-001;0.007000
1.729690;0.792775;4.797503e-001;0.007000
2.510307;1.150557;4.699299e-001;0.006000
1.877238;0.860401;4.603103e-001;0.007000
2.067539;0.947622;4.508875e-001;0.006000
1.373717;0.629620;4.416575e-001;0.010000
1.977945;0.906558;4.326163e-001;0.008000
2.115188;0.969461;4.237600e-001;0.007000
1.286245;0.589529;4.150849e-001;0.013000
3.384525;1.551241;4.065872e-001;0.005000
3.147011;1.442380;3.982634e-001;0.006000
2.828466;1.296380;3.901098e-001;0.006000
2.051997;0.940499;3.821231e-001;0.007000
2.972819;1.362542;3.742997e-001;0.007000
2.830165;1.297159;3.666363e-001;0.008000
3.054577;1.400015;3.591297e-001;0.007000
2.108132;0.966227;3.517767e-001;0.007000
2.732474;1.252384;3.445741e-001;0.007000
2.528287;1.158798;3.375188e-001;0.008000
2.379645;1.090670;3.306078e-001;0.008000
1.976766;0.906018;3.238382e-001;0.008000
3.027867;1.387772;3.172071e-001;0.006000
2.668649;1.223131;3.107116e-001;0.007000
2.818496;1.291811;3.043490e-001;0.007000
2.498262;1.145037;2.981165e-001;0.008000
2.868838;1.314884;2.920116e-001;0.007000
1.060208;0.485929;2.860315e-001;0.021000
2.834065;1.298947;2.801737e-001;0.008000
2.352290;1.078133;2.744358e-001;0.009000
3.004599;1.377108;2.688153e-001;0.008000
2.798087;1.282456;2.633097e-001;0.008000
3.041461;1.394003;2.579167e-001;0.008000
3.273134;1.500186;2.526341e-001;0.007000
2.248476;1.030552;2.474595e-001;0.010000
3.009623;1.379411;2.423908e-001;0.007000
2.670413;1.223939;2.374257e-001;0.008000
2.156814;0.988540;2.325623e-001;0.010000
2.490399;1.141433;2.277983e-001;0.010000
1.704596;0.781273;2.231317e-001;0.013000
2.257902;1.034872;2.185606e-001;0.011000
1.949547;0.893542;2.140831e-001;0.012000
1.636560;0.750090;2.096971e-001;0.013000
