1.#INF00;1.#INF00;9.944306e-001;0.002000
2.668712;1.223160;3.764696e-002;0.007000
2.551665;1.169513;3.683416e-002;0.008000
2.707759;1.241056;3.604005e-002;0.009000
3.165685;1.450939;3.526418e-002;0.009000
2.135699;0.978862;3.450612e-002;0.009000
2.571244;1.178487;3.376542e-002;0.008000
1.994259;0.914035;3.304167e-002;0.012000
2.629668;1.205265;3.233446e-002;0.008000
3.100541;1.421081;3.164339e-002;0.007000
2.845090;1.304000;3.096808e-002;0.008000
2.862488;1.311974;3.030814e-002;0.007000
2.326250;1.066198;2.966320e-002;0.010000
2.775915;1.272294;2.903291e-002;0.008000
2.920112;1.338385;2.841690e-002;0.009000
2.409022;1.104135;2.781485e-002;0.011000
2.477220;1.135393;2.722641e-002;0.009000
1.495140;0.685273;2.665126e-002;0.015000
2.993173;1.371871;2.608908e-002;0.009000
3.015878;1.382277;2.553956e-002;0.008000
2.919867;1.338272;2.500239e-002;0.010000
3.269423;1.498486;2.447729e-002;0.008000
2.690456;1.233126;2.396397e-002;0.009000
2.909811;1.333663;2.346214e-002;0.008000
2.748860;1.259894;2.297153e-002;0.008000
2.608840;1.195718;2.249187e-002;0.009000
2.451868;1.123773;2.202291e-002;0.011000
2.682009;1.229254;2.156438e-002;0.009000
2.935222;1.345310;2.111605e-002;0.011000
2.593735;1.188795;2.067767e-002;0.010000
2.222915;1.018836;2.024901e-002;0.012000
2.488993;1.140788;1.982983e-002;0.010000
1.595895;0.731452;1.941991e-002;0.017000
2.874098;1.317295;1.902392e-002;0.010000
2.801907;1.284207;1.863897e-002;0.010000
2.910431;1.333947;1.826237e-002;0.010000
2.093835;0.959674;1.789392e-002;0.011000
2.617262;1.199578;1.753344e-002;0.012000
2.697806;1.236495;1.718074e-002;0.011000
2.586000;1.185250;1.683563e-002;0.011000
1.110675;0.509060;1.649795e-002;0.025000
2.677429;1.227155;1.616752e-002;0.011000
2.677887;1.227365;1.584417e-002;0.011000
2.796356;1.281663;1.552773e-002;0.009000
2.549068;1.168323;1.521806e-002;0.012000
2.392377;1.096506;1.491499e-002;0.013000
2.387179;1.094124;1.461837e-002;0.012000
2.036563;0.933425;1.432805e-002;0.013000
2.694188;1.234836;1.404389e-002;0.010000
2.405641;1.102586;1.376574e-002;0.012000
2.812804;1.289202;1.349348e-002;0.010000
2.842115;1.302636;1.322695e-002;0.010000
2.128900;0.975746;1.296604e-002;0.013000
2.623486;1.202431;1.271061e-002;0.011000
2.299354;1.053871;1.246054e-002;0.012000
2.173414;0.996148;1.221571e-002;0.013000
2.517162;1.153699;1.197600e-002;0.012000
2.387395;1.094223;1.174129e-002;0.013000
1.389323;0.636773;1.151146e-002;0.022000
2.043854;0.936767;1.128641e-002;0.016000
2.335731;1.070543;1.106603e-002;0.014000
2.233297;1.023594;1.085022e-002;0.015000
2.101454;0.963167;1.063886e-002;0.014000
2.593167;1.188535;1.043187e-002;0.011000
2.266909;1.039000;1.022914e-002;0.013000
1.536501;0.704230;1.003057e-002;0.021000
2.890241;1.324694;9.836078e-003;0.011000
1.730348;0.793076;9.645565e-003;0.017000
2.343766;1.074226;9.458946e-003;0.015000
3.098268;1.420040;9.276131e-003;0.011000
3.093669;1.417931;9.097037e-003;0.013000
2.224330;1.019485;8.922691e-003;0.013000
2.187028;1.002388;8.755173e-003;0.014000
2.559319;1.173021;8.590971e-003;0.012000
2.283713;1.046702;8.430015e-003;0.013000
2.512053;1.151358;8.272232e-003;0.014000
2.711432;1.242740;8.117555e-003;0.012000
2.236044;1.024853;7.965916e-003;0.014000
2.832011;1.298005;7.817249e-003;0.012000
2.925979;1.341074;7.671490e-003;0.013000
1.596820;0.731876;7.528575e-003;0.020000
2.633577;1.207056;7.388444e-003;0.014000
2.973731;1.362960;7.251037e-003;0.011000
2.900639;1.329459;7.116294e-003;0.011000
2.301202;1.054718;6.984160e-003;0.014000
2.467916;1.131128;6.854578e-003;0.015000
